"","x"
"878","Multifamily Housing"
"879","Multifamily Housing"
"880","Multifamily Housing"
"881","Multifamily Housing"
"882","Multifamily Housing"
"883","Multifamily Housing"
"884","Multifamily Housing"
"885","Multifamily Housing"
"886","Multifamily Housing"
"887","Multifamily Housing"
"888","Multifamily Housing"
"889","Multifamily Housing"
"890","Multifamily Housing"
"891","Multifamily Housing"
"892","Multifamily Housing"
"893","Multifamily Housing"
"894","Multifamily Housing"
"895","Retail"
"896","Multifamily Housing"
"897","Multifamily Housing"
"898","Multifamily Housing"
"899","Medical Office"
"900","Multifamily Housing"
"901","Multifamily Housing"
"902","Multifamily Housing"
"903","Multifamily Housing"
"904","Multifamily Housing"
"905","Multifamily Housing"
"906","Multifamily Housing"
"907","Warehouse"
"908","Multifamily Housing"
"909","Multifamily Housing"
"910","Multifamily Housing"
"911","Multifamily Housing"
"912","Multifamily Housing"
"913","Multifamily Housing"
"914","Medical Office"
"915","Multifamily Housing"
"916","Multifamily Housing"
"917","Multifamily Housing"
"918","Multifamily Housing"
"919","Multifamily Housing"
"920","Multifamily Housing"
"921","Multifamily Housing"
"922","Multifamily Housing"
"923","Multifamily Housing"
"924","Office"
"925","Multifamily Housing"
"926","Hospital"
"927","Office"
"928","Multifamily Housing"
"929","Multifamily Housing"
"930","Office"
"931","Multifamily Housing"
"932","Multifamily Housing"
"933","Multifamily Housing"
"934","Multifamily Housing"
"935","Multifamily Housing"
"936","Multifamily Housing"
"937","Multifamily Housing"
"938","Multifamily Housing"
"939","Multifamily Housing"
"940","Multifamily Housing"
"941","Multifamily Housing"
"942","Multifamily Housing"
"943","Multifamily Housing"
"944","Multifamily Housing"
"945","Multifamily Housing"
"946","Multifamily Housing"
"947","Multifamily Housing"
"948","Multifamily Housing"
"949","Multifamily Housing"
"950","Multifamily Housing"
"951","Multifamily Housing"
"952","Multifamily Housing"
"953","Multifamily Housing"
"954","Multifamily Housing"
"955","Multifamily Housing"
"956","Multifamily Housing"
"957","Multifamily Housing"
"958","Multifamily Housing"
"959","Multifamily Housing"
"960","Multifamily Housing"
"961","Multifamily Housing"
"962","Multifamily Housing"
"963","Multifamily Housing"
"964","Multifamily Housing"
"965","Multifamily Housing"
"966","Multifamily Housing"
"967","Office"
"968","Multifamily Housing"
"969","Multifamily Housing"
"970","Office"
"971","Multifamily Housing"
"972","Multifamily Housing"
"973","Warehouse"
"974","Office"
"975","Multifamily Housing"
"976","Multifamily Housing"
"977","Multifamily Housing"
"978","Multifamily Housing"
"979","Multifamily Housing"
"980","Multifamily Housing"
"981","Office"
"982","Multifamily Housing"
"983","Multifamily Housing"
"984","Multifamily Housing"
"985","Education"
"986","Education"
"987","Education"
"988","Multifamily Housing"
"989","Multifamily Housing"
"990","Multifamily Housing"
"991","Education"
"992","Multifamily Housing"
"993","Multifamily Housing"
"994","Multifamily Housing"
"995","Multifamily Housing"
"996","Multifamily Housing"
"997","Multifamily Housing"
"998","Multifamily Housing"
"999","Multifamily Housing"
"1000","Multifamily Housing"
"1001","Office"
"1002","Multifamily Housing"
"1003","Multifamily Housing"
"1004","Multifamily Housing"
"1005","Multifamily Housing"
"1006","Multifamily Housing"
"1007","Multifamily Housing"
"1008","Multifamily Housing"
"1009","Multifamily Housing"
"1010","Multifamily Housing"
"1011","Industrial"
"1012","Multifamily Housing"
"1013","Office"
"1014","Mixed Use"
"1015","Warehouse"
"1016","Multifamily Housing"
"1017","Mixed Use"
"1018","Mixed Use"
"1019","Warehouse"
"1020","Office"
"1021","Warehouse"
"1022","Multifamily Housing"
"1023","Multifamily Housing"
"1024","Multifamily Housing"
"1025","Multifamily Housing"
"1026","Multifamily Housing"
"1027","Multifamily Housing"
"1028","Multifamily Housing"
"1029","Multifamily Housing"
"1030","Multifamily Housing"
"1031","Multifamily Housing"
"1032","Office"
"1033","Multifamily Housing"
"1034","Multifamily Housing"
"1035","Multifamily Housing"
"1036","Multifamily Housing"
"1037","Multifamily Housing"
"1038","Multifamily Housing"
"1039","Multifamily Housing"
"1040","Multifamily Housing"
"1041","Multifamily Housing"
"1042","Multifamily Housing"
"1043","Multifamily Housing"
"1044","Multifamily Housing"
"1045","Multifamily Housing"
"1046","Multifamily Housing"
"1047","Multifamily Housing"
"1048","Office"
"1049","Multifamily Housing"
"1050","Multifamily Housing"
"1051","Multifamily Housing"
"1052","Multifamily Housing"
"1053","Multifamily Housing"
"1054","Multifamily Housing"
"1055","Multifamily Housing"
"1056","Multifamily Housing"
"1057","Multifamily Housing"
"1058","Multifamily Housing"
"1059","Multifamily Housing"
"1060","Multifamily Housing"
"1061","Multifamily Housing"
"1062","Multifamily Housing"
"1063","Education"
"1064","Office"
"1065","Multifamily Housing"
"1066","Multifamily Housing"
"1067","Multifamily Housing"
"1068","Multifamily Housing"
"1069","Multifamily Housing"
"1070","Multifamily Housing"
"1071","Multifamily Housing"
"1072","Multifamily Housing"
"1073","Multifamily Housing"
